genre,gross,rate,runtime,title,vote,yr
"Biography, Drama, Sport",$61.65M,8.0,144 min,Cinderella Man,162761,2005
"Drama, Romance",$18.55M,7.1,95 min,Some Kind of Wonderful,23506,1987
"Drama, Family, Musical",$72.00M,7.9,170 min,My Fair Lady,76894,1964
"Comedy, Drama, Romance",$5.97M,7.3,106 min,Lars and the Real Girl,127877,2007
"Drama, Romance, Thriller",None,7.1,106 min,Colonia,38396,2015
"Animation, Action, Adventure",$143.53M,7.1,95 min,Kung Fu Panda 3,107183,2016
"Crime, Drama, Thriller",$36.95M,7.9,144 min,Carlito's Way,180533,1993
Comedy,$49.53M,7.6,93 min,"Planes, Trains &amp; Automobiles",105273,1987
"Animation, Adventure, Drama",$48.09M,7.4,69 min,The Land Before Time,70465,1988
"Comedy, Drama, Romance",$35.01M,7.7,100 min,50/50,294795,2011
"Animation, Adventure, Comedy",$50.15M,7.3,95 min,The Book of Life,57275,2014
"Comedy, Romance, Sci-Fi",$13.00M,7.0,108 min,Real Genius,26997,1985
"Drama, Horror, Mystery",$4.16M,7.2,135 min,Twin Peaks: Fire Walk with Me,73155,1992
"Comedy, Drama",$54.24M,7.3,122 min,The Hundred-Foot Journey,65999,2014
"Comedy, Drama, Romance",$44.67M,7.9,100 min,The Artist,211952,2011
"Biography, Drama, Romance",$87.10M,7.2,161 min,Out of Africa,61848,1985
"Comedy, Drama, Romance",$17.84M,7.3,95 min,Punch-Drunk Love,127098,2002
"Action, Drama, History",$78.12M,7.2,138 min,We Were Soldiers,117234,2002
"Crime, Drama, Romance",$68.71M,7.4,112 min,Witness,75567,1985
"Drama, Film-Noir",None,8.5,110 min,Sunset Blvd.,170616,1950
"Biography, Drama, Sport",$67.26M,7.3,136 min,Coach Carter,106649,2005
"Adventure, Comedy, Romance",None,8.0,100 min,To Have and Have Not,26896,1944
"Comedy, Music",$11.22M,7.5,104 min,"The Adventures of Priscilla, Queen of the Desert",41758,1994
"Crime, Drama, Romance",$37.56M,7.0,123 min,Out of Sight,78006,1998
"Animation, Adventure, Family",$103.41M,7.3,97 min,Rise of the Guardians,140173,2012
"Horror, Mystery, Thriller",$17.19M,7.3,113 min,Angel Heart,70718,1987
"Comedy, Music",$20.50M,7.2,90 min,Top Secret!,52447,1984
"Drama, Romance",$38.90M,7.6,138 min,Romeo and Juliet,26375,1968
Comedy,$3.15M,7.8,92 min,Clerks,197113,1994
"Animation, Adventure, Comedy",$15.09M,7.7,101 min,Ponyo,102332,2008
"Animation, Adventure, Drama",$58.41M,7.1,94 min,Anastasia,99614,1997
"Drama, Romance",$9.17M,7.6,99 min,A Single Man,96901,2009
"Animation, Action, Adventure",$124.87M,7.0,90 min,Cloudy with a Chance of Meatballs,177722,2009
"Comedy, Drama, Fantasy",$40.57M,7.5,124 min,Pleasantville,112023,1998
Drama,$37.74M,7.2,121 min,August: Osage County,77257,2013
"Animation, Action, Adventure",$31.74M,7.1,79 min,9,122588,2009
"Biography, Crime, Drama",$14.48M,7.0,106 min,Big Eyes,73350,2014
"Animation, Adventure, Drama",None,7.7,91 min,Watership Down,29040,1978
"Drama, Romance",$129.80M,7.0,124 min,An Officer and a Gentleman,42963,1982
"Adventure, Comedy, Drama",$24.01M,7.3,119 min,The Life Aquatic with Steve Zissou,160517,2004
"Comedy, Drama, Romance",$18.60M,8.3,125 min,The Apartment,135854,1960
Drama,$3.49M,8.1,139 min,Mommy,40430,2014
"Adventure, Drama, Western",$31.13M,7.4,128 min,True Grit,37539,1969
"Animation, Adventure, Comedy",$32.06M,7.6,83 min,Robin Hood,98643,1973
"Comedy, Drama, Romance",$7.46M,7.0,117 min,A Good Year,80164,2006
"Action, Crime, Thriller",None,7.8,102 min,Dirty Harry,127966,1971
"Crime, Drama, Sport",$0.34M,7.5,109 min,Green Street Hooligans,130769,2005
"Drama, Fantasy",None,8.2,96 min,The Seventh Seal,136477,1957
"Biography, Crime, Drama",$15.43M,7.0,127 min,The Infiltrator,58150,2016
"Drama, Romance",$34.70M,7.6,119 min,Dangerous Liaisons,58299,1988
Drama,$106.26M,7.8,105 min,Kramer vs. Kramer,113479,1979
Drama,$2.54M,7.1,115 min,Naked Lunch,41369,1991
"Biography, Drama",$25.01M,8.1,133 min,In the Name of the Father,135555,1993
"Action, Crime, Thriller",$27.83M,7.0,88 min,Crank,216274,2006
"Drama, Thriller",$5.38M,8.1,154 min,Amores Perros,201013,2000
"Biography, Drama, History",$48.17M,7.7,202 min,Malcolm X,72949,1992
"Drama, Thriller",$31.49M,7.5,96 min,A History of Violence,205729,2005
"Biography, Crime, Drama",$29.80M,7.8,130 min,Serpico,93280,1973
Drama,$54.80M,7.8,124 min,Ordinary People,40460,1980
"Crime, Drama, Thriller",$27.90M,7.5,97 min,Menace II Society,45277,1993
"Crime, Drama",$22.91M,7.3,121 min,Rounders,132079,1998
"Biography, Crime, Drama",$3.05M,7.4,99 min,Heavenly Creatures,54784,1994
"Biography, Drama, Sport",$44.47M,7.4,129 min,"McFarland, USA",30116,2015
Drama,$18.75M,7.5,101 min,Still Alice,111755,2014
"Drama, History, Thriller",$70.41M,8.0,189 min,JFK,127328,1991
"Action, Comedy, Crime",$59.51M,7.0,105 min,The Last Boy Scout,83902,1991
"Crime, Drama, Romance",$30.03M,7.3,111 min,The Bank Job,163071,2008
"Biography, Drama",$52.10M,7.8,121 min,Awakenings,107527,1990
"Crime, Drama, Thriller",$24.15M,7.6,122 min,Lord of War,271166,2005
Drama,$8.00M,8.0,122 min,A Streetcar Named Desire,88597,1951
"Comedy, Drama",$1.98M,7.0,101 min,Demolition,72801,2015
"Comedy, Romance",$39.20M,8.0,93 min,Annie Hall,230665,1977
"Action, Crime, Drama",None,7.8,104 min,The French Connection,95762,1971
"Drama, Mystery, Thriller",$1.03M,7.0,95 min,Buried,134937,2010
"Biography, Drama, History",$17.45M,7.0,127 min,The Zookeeper's Wife,27911,2017
"Biography, Comedy, Drama",$5.89M,7.9,127 min,Ed Wood,154112,1994
"Comedy, Crime",$63.49M,7.6,108 min,A Fish Called Wanda,118953,1988
"Comedy, Romance",$10.30M,7.2,97 min,Better Off Dead...,37541,1985
"Biography, Drama, History",$52.77M,8.1,191 min,Gandhi,201118,1982
Drama,$6.40M,7.1,104 min,My Own Private Idaho,42817,1991
"Comedy, Drama",$15.19M,7.2,106 min,Muriel's Wedding,31277,1994
"Comedy, Drama",$21.50M,7.4,103 min,The Way Way Back,129592,2013
"Drama, Romance",$8.11M,7.9,109 min,Before Midnight,117395,2013
"Comedy, Drama",$6.22M,7.4,111 min,Ghost World,104877,2001
"Comedy, Drama",$108.42M,7.4,132 min,Terms of Endearment,47438,1983
"Action, Drama, History",$28.64M,7.2,137 min,Defiance,127491,2008
"Drama, Mystery, Sci-Fi",None,8.1,167 min,Solaris,66320,1971
"Crime, Drama, Horror",None,7.6,108 min,Funny Games,53519,1997
Drama,$0.01M,8.3,138 min,All About Eve,102511,1950
"Drama, Romance",$20.97M,7.4,117 min,A Room with a View,34617,1985
"Adventure, Biography, Drama",$21.50M,7.9,193 min,The Right Stuff,50424,1983
Drama,$1.01M,8.0,96 min,Short Term 12,69410,2013
"Horror, Thriller",$5.10M,8.0,127 min,Dawn of the Dead,100359,1978
"Crime, Drama, Thriller",$5.08M,7.8,115 min,Miller's Crossing,114835,1990
"Biography, Drama, Family",$32.48M,7.8,108 min,October Sky,72641,1999
"Biography, Drama",$20.19M,7.3,129 min,The People vs. Larry Flynt,79641,1996
"Drama, Romance",$31.25M,7.1,111 min,Monster's Ball,77018,2001
"Crime, Drama",$1.04M,7.3,113 min,Animal Kingdom,50479,2010
"Animation, Action, Crime",$0.52M,8.0,83 min,Ghost in the Shell,110153,1995
"Drama, Romance",$32.20M,7.2,139 min,The Age of Innocence,42196,1993
"Biography, Drama, History",$52.08M,7.5,128 min,Selma,74793,2014
"Drama, Musical, Romance",$29.08M,7.0,135 min,Rent,45305,2005
"Drama, Mystery, Thriller",$15.54M,7.2,128 min,The Ghost Writer,145239,2010
"Comedy, Horror",$0.24M,7.5,104 min,Braindead,84688,1992
"Biography, Drama",$7.06M,7.3,124 min,Quills,48159,2000
"Comedy, Drama",$19.52M,8.1,174 min,La Dolce Vita,56750,1960
"Comedy, Drama, Romance",$17.54M,7.0,93 min,Enough Said,54493,2013
"Action, Biography, Crime",None,7.9,111 min,Bonnie and Clyde,90600,1967
"Drama, Music, Romance",$39.46M,7.3,112 min,Crazy Heart,77084,2009
"Drama, Sport",$52.29M,7.0,119 min,The Color of Money,65814,1986
"Comedy, Drama",$100.05M,7.0,124 min,Parenthood,39600,1989
"Animation, Adventure, Family",$38.18M,7.1,95 min,Treasure Planet,85965,2002
"Crime, Drama, Mystery",$45.01M,7.4,118 min,Frequency,91991,2000
"Biography, Crime, Drama",$11.53M,7.6,118 min,Boys Don't Cry,85068,1999
"Action, Adventure, Sci-Fi",$78.91M,7.7,113 min,Star Trek II: The Wrath of Khan,102124,1982
"Crime, Drama, Thriller",$0.01M,7.7,90 min,Dead Man's Shoes,44708,2004
"Drama, Family, Fantasy",$10.02M,7.7,97 min,A Little Princess,28412,1995
Drama,$119.29M,7.7,109 min,On Golden Pond,24484,1981
"Biography, Crime, Drama",$35.00M,7.6,121 min,Midnight Express,62917,1978
"Adventure, Comedy, Drama",$11.90M,7.2,91 min,The Darjeeling Limited,159454,2007
"Biography, Drama, Sport",$95.00M,7.5,128 min,42,75214,2013
"Biography, Drama, Thriller",$28.97M,7.9,157 min,The Insider,146212,1999
"Biography, Drama, History",$56.44M,7.3,103 min,The Queen,95458,2006
"Animation, Adventure, Comedy",$144.88M,7.2,79 min,101 Dalmatians,131245,1961
"Crime, Drama, Thriller",None,7.5,113 min,Straw Dogs,50628,1971
"Crime, Drama, Thriller",$13.10M,7.3,100 min,Frailty,69049,2001
"Animation, Adventure, Comedy",$55.68M,7.1,78 min,The AristoCats,78198,1970
"Animation, Adventure, Family",$87.40M,7.3,77 min,Peter Pan,106182,1953
"Biography, Drama, Romance",$94.13M,7.0,118 min,Julie &amp; Julia,91949,2009
"Crime, Romance, Thriller",$3.80M,7.4,108 min,Bound,45648,1996
"Crime, Drama, Mystery",$22.49M,7.8,110 min,Lucky Number Slevin,283685,2006
"Crime, Drama, Thriller",$49.44M,7.1,127 min,Runaway Jury,83694,2003
"Drama, Thriller",$40.96M,7.1,101 min,The Ides of March,204019,2011
"Adventure, Comedy, Drama",$1.29M,7.2,95 min,The Kings of Summer,71308,2013
"Drama, Mystery, Romance",None,8.1,130 min,Rebecca,106451,1940
"Drama, Thriller",None,8.1,83 min,Persona,81673,1966
"Action, Crime, Drama",$81.53M,7.1,100 min,Payback,121989,1999
"Animation, Comedy, Family",$84.25M,7.5,88 min,Pinocchio,109631,1940
"Drama, War",None,8.4,88 min,Paths of Glory,148123,1957
"Drama, Horror, Thriller",None,7.3,110 min,Don't Look Now,40465,1973
Drama,$32.07M,7.1,111 min,The Accused,27757,1988
"Comedy, Drama, Musical",$15.28M,7.6,121 min,Hair,31029,1979
"Crime, Drama, Thriller",$9.60M,8.2,108 min,On the Waterfront,123406,1954
"Drama, Mystery, Thriller",$0.75M,7.0,180 min,Inland Empire,47999,2006
"Fantasy, Horror, Mystery",$8.95M,7.2,95 min,In the Mouth of Madness,50865,1994
"Biography, Crime, Drama",$28.75M,7.4,114 min,Capote,113670,2005
"Crime, Drama, Mystery",None,7.3,140 min,Death on the Nile,23797,1978
"Comedy, Crime",$42.04M,7.3,110 min,Dirty Rotten Scoundrels,56962,1988
"Action, Adventure, Comedy",$101.63M,7.0,127 min,Maverick,92182,1994
"Crime, Drama, Romance",$62.55M,7.3,112 min,The Crying Game,46095,1992
"Drama, Romance",$71.52M,7.6,135 min,The Bridges of Madison County,62865,1995
Comedy,$6.09M,7.0,94 min,Grandma's Boy,72539,2006
"Adventure, Comedy, Family",$40.90M,7.0,91 min,Pee-wee's Big Adventure,45359,1985
Drama,$40.31M,7.6,132 min,I Am Sam,133086,2001
"Comedy, Crime",$78.04M,7.6,85 min,The Naked Gun: From the Files of Police Squad!,131492,1988
"Biography, Drama, Family",$43.85M,7.1,112 min,Soul Surfer,40379,2011
"Action, Drama, Thriller",$9.45M,8.0,85 min,High Noon,87962,1952
"Animation, Adventure, Comedy",$183.14M,7.3,87 min,The Simpsons Movie,283827,2007
Drama,$17.57M,8.1,108 min,Cat on a Hot Tin Roof,38835,1958
"Drama, Romance",$10.01M,7.4,171 min,The Unbearable Lightness of Being,30405,1988
"Biography, Comedy, Drama",$15.79M,7.4,106 min,Eddie the Eagle,70255,2016
"Animation, Adventure, Family",None,7.4,75 min,Alice in Wonderland,111219,1951
"Drama, Mystery",$33.42M,7.5,104 min,Doubt,110663,2008
Horror,None,7.3,107 min,The Changeling,25141,1980
"Comedy, Drama, Music",$3.23M,8.0,106 min,Sing Street,69593,2016
"Action, Crime, Drama",$22.00M,7.0,93 min,Death Wish,30451,1974
"Crime, Drama",$0.33M,7.7,101 min,This Is England,107705,2006
Drama,$2.85M,7.8,141 min,The Great Beauty,68978,2013
"Crime, Drama",$7.72M,7.6,124 min,"The Cook, the Thief, His Wife &amp; Her Lover",30593,1989
Drama,$0.07M,7.7,98 min,Detachment,67044,2011
"Drama, Horror, Thriller",$1.73M,7.4,120 min,Take Shelter,80570,2011
"Drama, Horror, Sci-Fi",$12.00M,7.9,70 min,Frankenstein,56177,1931
"Comedy, Romance",$166.24M,7.0,108 min,Meet the Parents,286254,2000
"Comedy, Drama",$5.66M,7.3,119 min,20th Century Women,28978,2016
"Crime, Drama, Thriller",$45.86M,7.1,135 min,The Rainmaker,53102,1997
"Drama, Fantasy, Romance",$3.21M,8.1,128 min,Wings of Desire,54895,1987
"Biography, Crime, Drama",$43.00M,7.6,112 min,Escape from Alcatraz,100325,1979
"Action, Adventure, Comedy",$60.65M,7.1,114 min,Three Kings,149711,1999
Comedy,$66.76M,7.0,100 min,Uncle Buck,72764,1989
"Drama, Music",$9.40M,7.0,116 min,Black Snake Moan,57189,2006
"Comedy, Drama",$3.08M,7.5,124 min,"Synecdoche, New York",68562,2008
"Crime, Drama, Mystery",None,8.0,80 min,Rope,111059,1948
"Action, Crime, Mystery",$42.30M,7.5,114 min,Bullitt,53110,1968
"Mystery, Thriller",$4.50M,7.4,99 min,Suspicion,27767,1941
"Animation, Horror, Mystery",$0.43M,7.9,81 min,Perfect Blue,39711,1997
"Crime, Drama, Musical",$4.18M,8.0,140 min,Dancer in the Dark,90096,2000
"Drama, Western",None,8.1,123 min,The Man Who Shot Liberty Valance,60560,1962
"Adventure, Drama, War",$44.91M,8.2,161 min,The Bridge on the River Kwai,179115,1957
"Animation, Crime, Drama",$5.50M,7.1,100 min,A Scanner Darkly,97895,2006
"Adventure, Comedy, Fantasy",$42.37M,7.0,110 min,Time Bandits,51642,1981
"Comedy, Drama",$4.51M,7.3,96 min,Swingers,69284,1996
"Drama, Western",$35.00M,7.7,201 min,Giant,30162,1956
"Drama, Thriller, War",$4.40M,7.8,145 min,Black Book,66574,2006
"Crime, Drama",$39.39M,7.5,122 min,Dead Man Walking,80598,1995
"Biography, Drama, History",$11.00M,7.3,105 min,The Young Victoria,52175,2009
"Action, Crime, Drama",$25.19M,7.0,124 min,Fallen,66298,1998
"Drama, Sport",None,8.0,134 min,The Hustler,68945,1961
"Comedy, Drama, Romance",$70.17M,7.0,103 min,Grumpy Old Men,38782,1993
"Action, Crime, Drama",$17.31M,7.3,116 min,To Live and Die in L.A.,24913,1985
"Biography, Crime, Drama",$36.61M,7.5,123 min,Freedom Writers,60012,2007
"Drama, War",$21.49M,7.6,131 min,The Book Thief,115407,2013
"Comedy, Fantasy, Horror",$16.76M,7.1,110 min,The Frighteners,74549,1996
"Animation, Adventure, Comedy",$18.53M,7.1,117 min,Bedknobs and Broomsticks,29764,1971
"Comedy, Drama, Romance",$0.08M,7.3,97 min,Stuck in Love,76899,2012
"Comedy, Drama",$2.55M,7.2,80 min,Carnage,108303,2011
"Animation, Family, Fantasy",$51.60M,7.3,75 min,Sleeping Beauty,117021,1959
"Drama, Romance",$22.95M,7.9,134 min,The Remains of the Day,54179,1993
"Comedy, Crime, Drama",$17.47M,7.2,103 min,Dope,74377,2015
"Adventure, Horror, Sci-Fi",$10.00M,7.9,100 min,King Kong,71745,1933
"Drama, Mystery, Thriller",None,7.6,111 min,Blow-Up,48702,1966
"Crime, Drama, Mystery",$10.73M,7.8,100 min,Glengarry Glen Ross,86352,1992
"Comedy, Music",$0.11M,7.7,88 min,The Producers,45018,1967
"Action, Comedy, Crime",$28.01M,7.4,107 min,Grosse Pointe Blank,80350,1997
"Biography, Drama, Music",$4.02M,7.0,135 min,I'm Not There.,52609,2007
"Action, Crime, Drama",$3.37M,7.0,94 min,Near Dark,28899,1987
"Crime, Drama, Music",$22.20M,7.4,116 min,Hustle &amp; Flow,36039,2005
"Action, Comedy",$32.77M,7.2,98 min,Team America: World Police,147535,2004
"Biography, Drama, Sport",$57.79M,7.1,105 min,Invincible,58712,2006
Drama,$0.26M,7.9,100 min,"I, Daniel Blake",40084,2016
"Fantasy, Horror",None,7.6,75 min,Dracula,39278,1931
"Comedy, Drama, Romance",$46.41M,7.3,124 min,The Best Exotic Marigold Hotel,83426,2011
Drama,$29.13M,8.1,118 min,The Last Picture Show,36242,1971
"Comedy, Sport",$49.80M,7.2,107 min,Major League,54603,1989
"Biography, Comedy, Drama",$9.49M,7.6,143 min,Chaplin,48205,1992
"Crime, Drama",$0.31M,8.1,98 min,La Haine,126791,1995
"Animation, Action, Adventure",$196.57M,7.0,94 min,Ice Age: Dawn of the Dinosaurs,193698,2009
"Comedy, Drama, Romance",$22.55M,7.4,111 min,Much Ado About Nothing,40989,1993
"Adventure, Comedy",$32.70M,7.1,97 min,Tommy Boy,68929,1995
"Comedy, Drama, Family",$41.41M,7.6,109 min,Secondhand Lions,47319,2003
"Animation, Comedy, Drama",$3.76M,7.3,90 min,Anomalisa,54703,2015
"Comedy, Drama, Fantasy",$40.14M,7.6,113 min,Stranger Than Fiction,203165,2006
"Drama, Thriller",None,8.0,126 min,The Manchurian Candidate,66316,1962
"Animation, Action, Adventure",$165.25M,7.2,90 min,Kung Fu Panda 2,216684,2011
"Drama, Horror, Mystery",$3.22M,7.4,84 min,Pi,157370,1998
"Comedy, Family",$19.29M,8.0,94 min,A Christmas Story,116875,1983
"Drama, Horror, Thriller",None,8.1,134 min,What Ever Happened to Baby Jane?,43234,1962
Western,$31.80M,7.9,135 min,The Outlaw Josey Wales,57791,1976
Drama,$24.74M,7.2,100 min,"Sex, Lies, and Videotape",43196,1989
"Action, Drama, Thriller",$91.40M,7.3,116 min,Crimson Tide,90726,1995
Comedy,$63.71M,7.0,99 min,What About Bob?,56358,1991
"Comedy, Fantasy",None,7.1,116 min,Er ist wieder da,31699,2015
"Action, Drama, Thriller",None,7.3,108 min,The Siege of Jadotville,21158,2016
"Adventure, Comedy, Family",$88.63M,7.1,103 min,The Muppets,81036,2011
"Drama, Western",$20.00M,7.7,118 min,Shane,32360,1953
"Action, Adventure, War",$45.30M,7.8,150 min,The Dirty Dozen,59431,1967
"Crime, Drama, Thriller",$2.15M,7.7,99 min,Blood Simple.,76802,1984
"Comedy, Drama, Romance",$10.60M,7.2,112 min,Beautiful Girls,29036,1996
"Biography, Drama, Sport",$11.01M,7.1,107 min,Lords of Dogtown,48149,2005
"Comedy, Drama, Fantasy",$41.90M,7.6,138 min,The Fisher King,71214,1991
"Comedy, Crime, Drama",$0.30M,7.3,97 min,Four Lions,64279,2010
"Biography, Drama, History",$43.98M,7.8,163 min,The Last Emperor,81533,1987
"Animation, Adventure, Drama",$1.34M,7.8,108 min,Le Petit Prince,47007,2015
"Comedy, Drama, Sport",$28.00M,7.4,123 min,Slap Shot,31253,1977
"Crime, Drama, Mystery",$8.18M,8.4,116 min,Witness for the Prosecution,85580,1957
"Animation, Adventure, Comedy",$85.42M,7.0,87 min,The SpongeBob SquarePants Movie,68082,2004
"Comedy, Drama, Romance",$4.06M,7.4,86 min,Frances Ha,57008,2012
Drama,$0.05M,8.1,138 min,8½,96095,1963
"Animation, Drama, Fantasy",$22.24M,8.0,95 min,Pink Floyd: The Wall,67826,1982
"Comedy, Drama, War",None,8.5,125 min,The Great Dictator,171087,1940
"Crime, Drama, Thriller",$19.59M,7.6,130 min,The Life of David Gale,98974,2003
"Adventure, Drama, History",$17.22M,7.5,125 min,The Mission,50152,1986
"Crime, Drama, Mystery",$24.38M,8.0,110 min,In the Heat of the Night,57745,1967
"Crime, Mystery, Sci-Fi",None,7.1,97 min,Soylent Green,50779,1973
"Biography, Drama, Music",$35.18M,7.2,140 min,The Doors,75306,1991
"Crime, Drama, Mystery",None,7.6,102 min,Who Am I - Kein System ist sicher,37337,2014
"Biography, Drama, War",$70.00M,7.2,145 min,Born on the Fourth of July,87258,1989
"Drama, Horror",None,7.9,64 min,Freaks,36961,1932
Drama,$4.41M,7.8,242 min,Hamlet,33365,1996
"Biography, Drama, War",$61.70M,8.0,172 min,Patton,85639,1970
"Comedy, Drama, Family",$75.62M,7.1,124 min,We Bought a Zoo,123546,2011
"Comedy, Drama",$45.95M,7.2,91 min,The Full Monty,90371,1997
"Biography, Comedy, Crime",$16.00M,7.1,113 min,Confessions of a Dangerous Mind,77347,2002
"Comedy, Drama",$24.79M,7.6,92 min,Thank You for Smoking,203198,2005
"Drama, Horror, Thriller",$9.13M,7.3,116 min,Dead Ringers,34418,1988
"Adventure, Comedy, Drama",$93.47M,7.4,97 min,The Bucket List,207713,2007
"Crime, Drama, Film-Noir",$5.72M,8.3,107 min,Double Indemnity,120941,1944
"Action, Crime, Drama",$35.51M,7.1,114 min,No Way Out,30644,1987
"Drama, History",$44.18M,7.3,155 min,Amistad,64039,1997
"Horror, Mystery, Thriller",None,7.1,97 min,Shutter,36077,2004
"Animation, Adventure, Drama",None,7.9,103 min,Kiki's Delivery Service,93888,1989
"Drama, War",None,8.2,186 min,Judgment at Nuremberg,58361,1961
"Drama, Family",$49.20M,7.4,109 min,My Sister's Keeper,82952,2009
"Biography, Drama, History",$17.61M,7.7,123 min,The Last King of Scotland,161405,2006
"Action, Comedy, Crime",None,7.3,99 min,The Italian Job,35759,1969
"Biography, Drama, History",$37.49M,7.3,134 min,Invictus,137432,2009
"Drama, Romance",$3.15M,7.0,110 min,Two Lovers,32952,2008
"Drama, Romance, Western",$12.97M,7.6,126 min,El Dorado,20741,1967
"Comedy, Drama",$56.70M,7.8,108 min,Guess Who's Coming to Dinner,33784,1967
"Animation, Adventure, Drama",$10.14M,7.6,82 min,The Secret of NIMH,31675,1982
"Crime, Drama, Mystery",$9.08M,7.2,129 min,The Girl Who Played with Fire,82206,2009
"Drama, Mystery, Thriller",$4.42M,7.9,113 min,The Conversation,84508,1974
"Comedy, Drama, Romance",$3.36M,7.7,116 min,A Man Called Ove,34433,2015
"Drama, Romance",$0.04M,7.3,108 min,Candy,39806,2006
"Crime, Drama, Romance",$0.60M,8.1,102 min,Chungking Express,49663,1994
"Action, Thriller",$5.02M,7.4,117 min,La Femme Nikita,61083,1990
"Horror, Mystery, Thriller",$21.13M,7.0,99 min,Stir of Echoes,68001,1999
"Drama, Romance",None,7.9,94 min,Days of Heaven,44045,1978
"Comedy, Drama, Music",$14.92M,7.6,118 min,The Commitments,29128,1991
"Crime, Drama, Romance",$17.51M,7.4,92 min,Notes on a Scandal,69621,2006
"Action, Drama, Romance",$58.33M,7.5,139 min,Open Range,60161,2003
"Animation, Adventure, Comedy",$106.83M,7.0,84 min,Chicken Run,158167,2000
"Action, Crime, Drama",$44.48M,7.3,140 min,The Negotiator,119002,1998
"Drama, Fantasy, Western",$1.04M,7.7,121 min,Dead Man,81167,1995
"Biography, Drama",$7.91M,8.3,155 min,Sanju,29662,2018
"Adventure, Drama, Musical",$0.07M,8.1,224 min,Lagaan: Once Upon a Time in India,88861,2001
"Crime, Drama, Romance",None,7.7,138 min,Victoria,41744,2015
"Crime, Drama, Mystery",None,8.3,88 min,Rashômon,127125,1950
"Animation, Adventure, Comedy",$93.60M,7.3,76 min,Lady and the Tramp,102768,1955
"Drama, Mystery, Thriller",$0.70M,7.7,105 min,Mysterious Skin,61646,2004
Drama,$3.83M,7.4,82 min,Ida,43363,2013
"Biography, Drama",$6.20M,8.0,112 min,The Straight Story,72314,1999
"Action, Drama, Mystery",$2.43M,7.3,183 min,Ghajini,48673,2008
Drama,$2.69M,7.2,106 min,Half Nelson,78782,2006
"Comedy, Romance, Sport",$50.89M,7.1,108 min,Bull Durham,41596,1988
"Drama, War",$0.14M,8.3,87 min,Tangerines,30042,2013
"Biography, Comedy, Drama",None,7.8,119 min,Pride,44790,2014
Drama,None,8.2,196 min,Kis Uykusu,33759,2014
"Biography, Drama, Music",$75.33M,7.7,152 min,Ray,123693,2004
"Animation, Adventure, Fantasy",None,8.1,117 min,Nausicaä of the Valley of the Wind,122050,1984
"Comedy, Drama, Family",$143.15M,7.1,115 min,Marley &amp; Me,131832,2008
"Drama, Romance, Sci-Fi",$0.00M,7.1,92 min,Perfect Sense,49468,2011
Drama,$13.06M,7.7,135 min,25th Hour,160229,2002
"Drama, History, Sport",$120.28M,7.3,140 min,Seabiscuit,61950,2003
"Crime, Drama, Mystery",$24.36M,7.4,132 min,Dolores Claiborne,33641,1995
"Comedy, Drama, Romance",$14.88M,7.3,103 min,Election,81221,1999
"Comedy, Drama, Romance",$0.02M,8.6,87 min,City Lights,138011,1931
"Crime, Drama, Thriller",$1.23M,7.2,81 min,Elephant,78304,2003
"Crime, Thriller",$46.57M,7.1,81 min,Phone Booth,230417,2002
"Comedy, Drama, Family",$0.16M,8.5,87 min,Modern Times,179465,1936
"Drama, Romance",$6.74M,7.9,127 min,Amour,81995,2012
"Comedy, Mystery, Romance",$13.47M,8.0,113 min,Charade,57397,1963
"Biography, Drama",$7.86M,7.5,124 min,Trumbo,66165,2015
"Action, Drama, History",$29.55M,7.5,144 min,Tora! Tora! Tora!,28184,1970
"Comedy, Romance",$2.12M,7.2,94 min,Mallrats,106701,1995
"Crime, Drama, Sci-Fi",$7.27M,7.7,80 min,Run Lola Run,175174,1998
"Comedy, Drama",$2.81M,7.8,134 min,Happiness,61160,1998
"Animation, Comedy, Family",$35.29M,7.0,87 min,Frankenweenie,85745,2012
"Drama, History, War",$10.77M,7.7,271 min,Gettysburg,23769,1993
"Comedy, Drama, Romance",$23.20M,7.2,98 min,Benny &amp; Joon,50456,1993
"Biography, Drama",$0.15M,7.6,96 min,Hunger,59192,2008
"Comedy, Drama",$0.69M,7.6,104 min,Mr. Church,21088,2016
"Drama, Family, Sport",$75.60M,7.0,127 min,The Rookie,29108,2002
"Mystery, Thriller",$41.51M,7.5,117 min,Three Days of the Condor,40934,1975
"Action, Comedy, Crime",$0.27M,7.0,86 min,Taxi,69396,1998
"Comedy, Drama, Romance",$20.81M,7.0,106 min,The Kids Are All Right,118762,2010
"Biography, Drama, Romance",$7.70M,7.0,123 min,Loving,26115,2016
"Comedy, Drama",$30.18M,8.0,130 min,Being There,58578,1979
"Adventure, Biography, Drama",$5.49M,7.3,120 min,Rescue Dawn,92908,2006
"Animation, Drama, Family",$1.60M,7.3,64 min,Dumbo,101527,1941
"Crime, Drama, Thriller",$71.76M,7.1,116 min,John Q,111654,2002
"Biography, Drama",$14.60M,7.0,99 min,My Week with Marilyn,77775,2011
"Biography, Crime, Drama",$1.54M,7.0,108 min,Bully,31749,2001
"Crime, Drama, Thriller",$28.48M,7.3,120 min,Mr. Brooks,133506,2007
"Adventure, Biography, Drama",$37.96M,7.0,136 min,Seven Years in Tibet,108785,1997
"Animation, Drama, Family",$102.80M,7.3,70 min,Bambi,111691,1942
