genre,gross,rate,runtime,title,vote,yr
"Action, Biography, Drama",$350.13M,7.3,133 min,American Sniper,385026,2014
"Comedy, Drama, Romance",$38.18M,7.3,97 min,10 Things I Hate About You,259116,1999
"Action, Crime, Drama",$86.26M,7.4,128 min,The Accountant,218474,2016
"Crime, Drama",$150.12M,7.3,138 min,American Hustle,404929,2013
"Drama, Mystery, Sci-Fi",$95.01M,7.3,106 min,Unbreakable,304754,2000
"Animation, Comedy, Family",$148.31M,7.1,91 min,Hotel Transylvania,195144,2012
Horror,$33.80M,7.4,98 min,Carrie,145379,1976
"Comedy, Horror",$32.22M,7.3,97 min,The Lost Boys,106924,1987
"Biography, Drama, History",$56.67M,8.1,134 min,12 Years a Slave,550477,2013
"Comedy, Drama, Romance",$63.17M,7.2,111 min,Forgetting Sarah Marshall,241310,2008
"Action, Drama, War",$85.82M,7.6,134 min,Fury,365244,2014
"Crime, Mystery, Thriller",None,8.1,106 min,Contratiempo,65988,2016
"Biography, Comedy, Drama",$13.18M,8.5,112 min,The Intouchables,636076,2011
"Biography, Drama, Sport",$115.64M,7.2,137 min,Unbroken,125605,2014
"Drama, Western",$101.16M,8.2,130 min,Unforgiven,327080,1992
"Action, Comedy",$48.07M,7.6,117 min,Kick-Ass,484090,2010
"Crime, Drama, Thriller",$92.19M,7.6,125 min,The Town,313162,2010
"Biography, Drama, History",$169.61M,7.8,127 min,Hidden Figures,156900,2016
"Action, Adventure, Fantasy",$290.48M,8.8,124 min,Star Wars: Episode V - The Empire Strikes Back,1005366,1980
"Biography, Comedy, Drama",$83.30M,7.5,125 min,Saving Mr. Banks,134124,2013
"Action, Adventure, Thriller",$167.45M,8.0,144 min,Casino Royale,524054,2006
"Biography, Drama, Music",$32.57M,8.5,150 min,The Pianist,606902,2002
"Animation, Adventure, Comedy",$191.80M,8.3,81 min,Toy Story,752619,1995
"Action, Thriller",None,7.0,113 min,Death Proof,235656,2007
"Crime, Drama",$77.81M,7.5,167 min,Gangs of New York,359358,2002
Drama,$77.32M,7.7,125 min,Philadelphia,200212,1993
"Action, Crime, Drama",$47.00M,7.2,124 min,Shooter,283933,2007
