genre,gross,rate,runtime,title,vote,yr,titleClean,cleanTitleSpot
"Drama, Romance",$144.84M,7.3,143 min,The Great Gatsby,417002,2013,The Great Gatsby,The Great Gatsby
"Adventure, Sci-Fi",$56.95M,8.3,149 min,2001: A Space Odyssey,516482,1968,2001: A Space Odyssey,2001 A Space Odyssey
"Action, Adventure, Fantasy",$936.66M,8.0,136 min,Star Wars: The Force Awakens,754885,2015,Star Wars: The Force Awakens,Star Wars The Force Awakens
"Action, Adventure, Fantasy",$291.05M,7.1,143 min,Man of Steel,624009,2013,Man of Steel,Man of Steel
"Crime, Drama, History",$45.06M,8.1,128 min,Spotlight,338224,2015,Spotlight,Spotlight
Drama,$0.79M,7.0,117 min,Nymphomaniac: Vol. I,101319,2013,Nymphomaniac: Vol. I,Nymphomaniac 
"Crime, Drama, Thriller",$67.44M,8.2,170 min,Heat,504331,1995,Heat,Heat
"Action, Adventure",$206.85M,8.3,140 min,Batman Begins,1145834,2005,Batman Begins,Batman Begins
"Action, Adventure, Drama",$218.08M,7.2,187 min,King Kong,355633,2005,King Kong,King Kong
Comedy,$75.59M,7.1,88 min,Old School,199681,2003,Old School,Old School
"Action, Adventure, Sci-Fi",$146.41M,7.7,131 min,X: First Class,587836,2011,X: First Class,X First Class
Drama,$112.00M,8.7,133 min,One Flew Over the Cuckoo's Nest,795179,1975,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoos Nest
"Action, Biography, Comedy",$51.34M,7.2,115 min,American Made,116089,2017,American Made,American Made
"Action, Drama, History",$52.85M,7.3,144 min,13 Hours,97040,2016,13 Hours,13 Hours
"Adventure, Comedy, Drama",$59.10M,8.1,99 min,The Grand Budapest Hotel,602632,2014,The Grand Budapest Hotel,The Grand Budapest Hotel
"Adventure, Drama, Sci-Fi",$228.43M,8.0,144 min,The Martian,637523,2015,The Martian,The Martian
"Animation, Family, Fantasy",$75.08M,8.0,76 min,The Nightmare Before Christmas,256932,1993,The Nightmare Before Christmas,The Nightmare Before Christmas
Comedy,$102.56M,7.0,95 min,American Pie,343996,1999,American Pie,American Pie
"Comedy, Drama, Romance",$58.40M,7.1,92 min,Easy A,318322,2010,Easy A,Easy A
"Comedy, Drama, Romance",$84.35M,7.4,118 min,Crazy Stupid Love,424292,2011,Crazy Stupid Love,Crazy Stupid Love
"Comedy, Crime, Drama",$27.78M,7.0,118 min,Logan Lucky,94197,2017,Logan Lucky,Logan Lucky
"Action, Adventure, Sci-Fi",$262.03M,7.0,136 min,The Amazing Spider-Man,508087,2012,The Amazing Spider-Man,The Amazing SpiderMan
"Drama, Romance",$38.41M,7.8,129 min,Pride &amp; Prejudice,221961,2005,Pride and Prejudice,Pride and Prejudice
"Drama, Romance",$138.43M,8.3,126 min,Good Will Hunting,731416,1997,Good Will Hunting,Good Will Hunting
"Crime, Drama",$57.30M,9.0,202 min,The Godfather: Part II,949030,1974,The Godfather: Part II,The Godfather 
"Crime, Drama, Romance",$12.28M,7.9,119 min,True Romance,182779,1993,True Romance,True Romance
